"Car Make","Estimate Requests by the Make"
"HONDA","19"
"NISSAN","15"
"TOYOTA","15"
"MERCEDES","9"
"KIA","9"
"VOLKSWAGEN","8"
"DODGE","8"
"FORD","7"
"BMW","7"
"HYUNDAI","7"
"LEXUS","6"
"AUDI","5"
"ACURA","4"
"MAZDA","4"
"INFINITI","4"
"CHEVY","3"
"CHEVROLET","3"
"MERCEDES BENZ","2"
"VW","2"
"JEEP","2"
"SUBARU","2"
"GMC","2"
"PORSCHE","2"
"TESLA","2"
"RAM","2"
"HUNDA","1"
"AUCRA","1"
"TELSA","1"
"MAKE","1"
"AUDIO","1"
"MASERATI","1"
"CADILLAC","1"
"INFINITY","1"
"HYUNDAII","1"
"POTIAC","1"
"HYUANDAI","1"
"CHRYSLER","1"
"CHEVERLET","1"
"HUMMER","1"
"PONTIAC","1"
"BUICK","1"
